number,name,section,part,account_type
42604,Депозиты_на_срок_от_91_до_180_дней,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц-нерезидентов,П
42605,Депозиты_на_срок_от_181_дня_до_1_года,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц-нерезидентов,П
42606,Депозиты_на_срок_от_1_года_до_3_лет,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц-нерезидентов,П
42609,Прочие_привлеченные_средства_до_востребования,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц-нерезидентов,П
42610,Прочие_привлеченные_средства_на_срок_до_30_дней,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц-нерезидентов,П
42611,Прочие_привлеченные_средства_на_срок_от_31_до_90_дней,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц-нерезидентов,П
42612,Прочие_привлеченные_средства_на_срок_от_91_до_180_дней,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц-нерезидентов,П
42613,Прочие_привлеченные_средства_на_срок_от_181_дня_до_1_года,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц-нерезидентов,П
42614,Прочие_привлеченные_средства_на_срок_от_1_года_до_3_лет,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц-нерезидентов,П
42615,Прочие_привлеченные_средства_на_срок_свыше_3_лет,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц-нерезидентов,П
43701,до_востребования,balance_accounts,Привлеченные_средства_негосударственных_финансовых_организаций,П
43702,на_срок_до_30_дней,balance_accounts,Привлеченные_средства_негосударственных_финансовых_организаций,П
43801,до_востребования,balance_accounts,Привлеченные_средства_негосударственных_коммерческих_организаций,П
44001,до_востребования,balance_accounts,Привлеченные_средства_юридических_лиц-нерезидентов,П
44002,на_срок_до_30_дней,balance_accounts,Привлеченные_средства_юридических_лиц-нерезидентов,П
44003,на_срок_от_31_до_90_дней,balance_accounts,Привлеченные_средства_юридических_лиц-нерезидентов,П
44004,на_срок_от_91_до_180_дней,balance_accounts,Привлеченные_средства_юридических_лиц-нерезидентов,П
44005,на_срок_от_181_дня_до_1_года,balance_accounts,Привлеченные_средства_юридических_лиц-нерезидентов,П
44006,на_срок_от_1_года_до_3_лет,balance_accounts,Привлеченные_средства_юридических_лиц-нерезидентов,П
44007,на_срок_свыше_3_лет,balance_accounts,Привлеченные_средства_юридических_лиц-нерезидентов,П
44606,на_срок_от_181_дня_до_1_года,balance_accounts,Кредиты__предоставленные_коммерческим_организациям__находящимся_в_федеральной_собственности,А
44607,на_срок_от_1_года_до_3_лет,balance_accounts,Кредиты__предоставленные_коммерческим_организациям__находящимся_в_федеральной_собственности,А
44608,на_срок_свыше_3_лет,balance_accounts,Кредиты__предоставленные_коммерческим_организациям__находящимся_в_федеральной_собственности,А
44615,Резервы_на_возможные_потери,balance_accounts,Кредиты__предоставленные_коммерческим_организациям__находящимся_в_федеральной_собственности,П
45101,"кредит_предоставленный_при_недостатке_средств_на_расчетном_(текущем)_счете_(""овердрафт"")",balance_accounts,Кредиты__предоставленные_негосударственным_финансовым_организациям,А
45105,на_срок_от_91_до_180_дней,balance_accounts,Кредиты__предоставленные_негосударственным_финансовым_организациям,А
45106,на_срок_от_181_дня_до_1_года,balance_accounts,Кредиты__предоставленные_негосударственным_финансовым_организациям,А
45107,на_срок_от_1_года_до_3_лет,balance_accounts,Кредиты__предоставленные_негосударственным_финансовым_организациям,А
45108,на_срок_свыше_3_лет,balance_accounts,Кредиты__предоставленные_негосударственным_финансовым_организациям,А
45115,Резервы_на_возможные_потери,balance_accounts,Кредиты__предоставленные_негосударственным_финансовым_организациям,П
45201,"кредит_предоставленный_при_недостатке_средств_на_расчетном_(текущем)_счете_(""овердрафт"")",balance_accounts,Кредиты__предоставленные_негосударственным_коммерческим_организациям,А
45203,на_срок_до_30_дней,balance_accounts,Кредиты__предоставленные_негосударственным_коммерческим_организациям,А
45204,на_срок_от_31_до_90_дней,balance_accounts,Кредиты__предоставленные_негосударственным_коммерческим_организациям,А
45205,на_срок_от_91_до_180_дней,balance_accounts,Кредиты__предоставленные_негосударственным_коммерческим_организациям,А
45206,на_срок_от_181_дня_до_1_года,balance_accounts,Кредиты__предоставленные_негосударственным_коммерческим_организациям,А
45207,на_срок_от_1_года_до_3_лет,balance_accounts,Кредиты__предоставленные_негосударственным_коммерческим_организациям,А
45208,на_срок_свыше_3_лет,balance_accounts,Кредиты__предоставленные_негосударственным_коммерческим_организациям,А
45215,Резервы_на_возможные_потери,balance_accounts,Кредиты__предоставленные_негосударственным_коммерческим_организациям,П
45401,"кредит_предоставленный_при_недостатке_средств_на_расчетном_(текущем)_счете_(""овердрафт"")",balance_accounts,Кредиты_и_прочие_средства__предоставленные_индивидуальным_предпринимателям,А
45405,Кредиты_на_срок_от_91_до_180_дней,balance_accounts,Кредиты_и_прочие_средства__предоставленные_индивидуальным_предпринимателям,А
45407,Кредиты_на_срок_от_1_года_до_3_лет,balance_accounts,Кредиты_и_прочие_средства__предоставленные_индивидуальным_предпринимателям,А
45408,Кредиты_на_срок_свыше_3_лет,balance_accounts,Кредиты_и_прочие_средства__предоставленные_индивидуальным_предпринимателям,А
45410,Прочие_средства_предоставленные_индивидуальным_предпринимателям,balance_accounts,Кредиты_и_прочие_средства__предоставленные_индивидуальным_предпринимателям,А
45415,Резервы_на_возможные_потери,balance_accounts,Кредиты_и_прочие_средства__предоставленные_индивидуальным_предпринимателям,П
45502,Кредиты_на_срок_до_30_дней,balance_accounts,Кредиты_и_прочие_средства__предоставленные_физическим_лицам,А
45503,Кредиты_на_срок_от_31_до_90_дней,balance_accounts,Кредиты_и_прочие_средства__предоставленные_физическим_лицам,А
45504,Кредиты_на_срок_от_91_до_180_дней,balance_accounts,Кредиты_и_прочие_средства__предоставленные_физическим_лицам,А
45505,Кредиты_на_срок_от_181_дня_до_1_года,balance_accounts,Кредиты_и_прочие_средства__предоставленные_физическим_лицам,А
